,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6894,21399,"FAST FDS,CHSEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT,VEG & MAYO",253,15.5,12.62,1.3,3.61,68.0,405.0,12.768
6887,21389,"FAST FOODS,HAMBURGER; DOUBLE,LRG PATY; W/ CONDMNT,VEG & MAYO",252,13.94,13.74,1.4,3.52,35.0,289.0,11.89
6780,21254,"BURGER KING,DOUBLE WHOPPER,NO CHS",252,13.94,13.74,1.4,3.52,35.0,289.0,11.89
6689,21093,"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY,W/ CONDMNT & VEG",251,12.8,21.2,,,103.0,633.0,9.955
6900,21405,"MCDONALD'S,PREMIUM CRISPY CHICK CLUB SNDWCH",250,15.38,22.61,1.2,4.99,92.0,472.0,7.556
6779,21253,"BURGER KING,WHOPPER,W/ CHS",250,11.19,16.7,1.0,4.11,82.0,453.0,10.84
6698,21102,"FAST FOODS,CHICK FILLET SNDWCH,PLN W/ PICKLES",250,16.28,20.89,1.4,3.64,58.0,753.0,6.604
7003,21526,"CHICK-FIL-A,CHICK SNDWCH",249,16.28,20.89,1.4,3.64,58.0,753.0,6.604
6823,21298,"PIZZA HUT 14"" SUPER SUPREME PIZZA,HAND-TOSSED CRUST",248,11.34,26.01,2.3,3.04,104.0,658.0,8.022
6710,21118,"FAST FOODS,HOTDOG,PLAIN",247,10.6,18.4,,,24.0,684.0,12.206
6956,21475,"DIGIORNO PIZZA,CHS TOPPING,THIN CRISPY CRUST,FRZ,BKD",247,12.96,26.47,3.0,,275.0,506.0,7.337
6807,21282,"DOMINO'S 14"" EXTRAVAGANZZA FST PIZZA,CLSSIC HAND-TOSSED CRST",244,10.33,25.72,2.0,3.3,113.0,456.0,8.013
6829,21304,"FAST FD,PIZZA CHAIN,14"" PIZZA,MEAT & VEG TOPPING,REG CRUST",244,11.02,25.38,2.2,3.73,120.0,589.0,8.193999999999999
